industrial,homebrew,capacitive,timestamp
1003.0000,243,-2,2015-01-28T01:47:44.780Z
994.0000,244,-2,2015-01-28T01:47:38.686Z
1000.0000,243,-2,2015-01-28T01:47:33.559Z
996.0000,244,-2,2015-01-28T01:47:28.434Z
1002.0000,244,-2,2015-01-28T01:47:23.307Z
999.0000,244,-2,2015-01-28T01:47:18.180Z
995.0000,243,-2,2015-01-28T01:47:13.054Z
990.0000,243,-2,2015-01-28T01:47:07.930Z
1003.0000,244,-2,2015-01-28T01:47:02.803Z
997.0000,244,-2,2015-01-28T01:46:57.676Z
1001.0000,244,-2,2015-01-28T01:46:52.548Z
998.0000,244,-2,2015-01-28T01:46:47.049Z
999.0000,244,-2,2015-01-28T01:46:41.921Z
995.0000,243,-2,2015-01-28T01:46:35.437Z
1001.0000,244,-2,2015-01-28T01:46:30.043Z
1002.0000,244,-2,2015-01-28T01:46:24.551Z
999.0000,245,-2,2015-01-28T01:46:19.417Z
999.0000,244,-2,2015-01-28T01:46:14.295Z
998.0000,245,-2,2015-01-28T01:46:09.164Z
1000.0000,245,-2,2015-01-28T01:46:04.039Z
999.0000,244,-2,2015-01-28T01:45:58.911Z
994.0000,244,-2,2015-01-28T01:45:53.784Z
1001.0000,245,-2,2015-01-28T01:45:48.658Z
1000.0000,245,-2,2015-01-28T01:45:43.532Z
997.0000,245,-2,2015-01-28T01:45:38.405Z
993.0000,244,-2,2015-01-28T01:45:33.279Z
997.0000,246,-2,2015-01-28T01:45:27.656Z
991.0000,245,-2,2015-01-28T01:45:22.404Z
992.0000,246,-2,2015-01-28T01:45:17.280Z
999.0000,246,-2,2015-01-28T01:45:12.398Z
991.0000,245,-2,2015-01-28T01:40:47.082Z
984.0000,244,-2,2015-01-28T01:40:41.960Z
990.0000,287,-2,2015-01-28T01:40:36.829Z
989.0000,285,-2,2015-01-28T01:40:31.708Z
991.0000,287,-2,2015-01-28T01:40:26.577Z
984.0000,285,-2,2015-01-28T01:40:21.452Z
990.0000,287,-2,2015-01-28T01:40:16.325Z
987.0000,249,-2,2015-01-28T01:40:11.199Z
985.0000,250,0,2015-01-28T01:40:06.322Z
980.0000,249,-2,2015-01-28T01:40:05.446Z
967.0000,248,-2,2015-01-28T01:38:33.048Z
968.0000,249,-2,2015-01-28T01:38:26.323Z
958.0000,247,-2,2015-01-28T01:38:21.171Z
963.0000,249,-2,2015-01-28T01:38:16.044Z
973.0000,248,-2,2015-01-28T01:38:10.918Z
968.0000,248,-2,2015-01-28T01:38:05.793Z
963.0000,250,-2,2015-01-28T01:38:00.554Z
951.0000,249,-2,2015-01-28T01:37:55.414Z
963.0000,254,-2,2015-01-28T01:37:50.286Z
963.0000,253,-2,2015-01-28T01:37:45.161Z
950.0000,252,-2,2015-01-28T01:37:40.035Z
958.0000,248,-2,2015-01-28T01:37:34.908Z
948.0000,246,-2,2015-01-28T01:37:29.782Z
943.0000,247,-2,2015-01-28T01:37:24.655Z
963.0000,293,-2,2015-01-28T01:37:19.530Z
958.0000,290,-2,2015-01-28T01:37:14.227Z
940.0000,295,-2,2015-01-28T01:37:09.027Z
946.0000,248,-2,2015-01-28T01:37:03.907Z
936.0000,248,-2,2015-01-28T01:36:57.649Z
939.0000,249,-2,2015-01-28T01:36:52.525Z
944.0000,249,-2,2015-01-28T01:36:47.396Z
943.0000,249,-2,2015-01-28T01:36:42.270Z
954.0000,250,-2,2015-01-28T01:36:37.144Z
940.0000,254,-2,2015-01-28T01:36:32.019Z
947.0000,254,-2,2015-01-28T01:36:19.891Z
945.0000,252,-2,2015-01-28T01:36:12.805Z
936.0000,254,-2,2015-01-28T01:36:05.931Z
930.0000,253,-2,2015-01-28T01:36:00.511Z
920.0000,254,-2,2015-01-28T01:35:55.384Z
925.0000,256,-2,2015-01-28T01:35:47.256Z
959.0000,254,-2,2015-01-28T01:35:42.130Z
964.0000,254,-2,2015-01-28T01:35:37.004Z
963.0000,255,-2,2015-01-28T01:35:31.878Z
961.0000,256,-2,2015-01-28T01:35:26.751Z
966.0000,257,-2,2015-01-28T01:35:21.625Z
947.0000,261,-2,2015-01-28T01:35:16.505Z
957.0000,261,-2,2015-01-28T01:35:08.373Z
961.0000,263,-2,2015-01-28T01:35:03.245Z
958.0000,261,-2,2015-01-28T01:34:56.993Z
973.0000,262,-2,2015-01-28T01:34:51.869Z
963.0000,262,-2,2015-01-28T01:34:46.750Z
957.0000,260,-2,2015-01-28T01:34:41.615Z
964.0000,262,-2,2015-01-28T01:34:36.490Z
955.0000,261,-2,2015-01-28T01:34:31.362Z
965.0000,262,-2,2015-01-28T01:34:26.237Z
960.0000,262,-2,2015-01-28T01:34:21.110Z
951.0000,263,-2,2015-01-28T01:34:15.990Z
953.0000,263,-2,2015-01-28T01:34:10.864Z
961.0000,263,-2,2015-01-28T01:34:05.730Z
959.0000,263,-2,2015-01-28T01:34:00.604Z
953.0000,264,-2,2015-01-28T01:33:55.479Z
950.0000,261,-2,2015-01-28T01:33:50.351Z
939.0000,261,-2,2015-01-28T01:33:45.032Z
959.0000,276,-2,2015-01-28T01:33:39.723Z
955.0000,267,-2,2015-01-28T01:33:34.599Z
953.0000,268,-2,2015-01-28T01:33:29.472Z
958.0000,271,-2,2015-01-28T01:33:24.347Z
948.0000,262,-2,2015-01-28T01:33:19.220Z
952.0000,263,-2,2015-01-28T01:33:14.093Z
950.0000,264,-2,2015-01-28T01:33:08.968Z
930.0000,262,-2,2015-01-28T01:33:03.843Z
944.0000,268,-2,2015-01-28T01:32:58.713Z
936.0000,267,-2,2015-01-28T01:32:53.587Z
929.0000,265,-2,2015-01-28T01:32:48.462Z
938.0000,303,-2,2015-01-28T01:32:43.336Z
946.0000,303,-2,2015-01-28T01:32:38.209Z
951.0000,303,-2,2015-01-28T01:32:34.330Z
945.0000,306,-2,2015-01-28T01:32:26.083Z
934.0000,307,-2,2015-01-28T01:32:20.956Z
936.0000,307,-2,2015-01-28T01:32:15.828Z
924.0000,308,-2,2015-01-28T01:32:10.706Z
932.0000,298,-2,2015-01-28T01:32:05.200Z
927.0000,302,-2,2015-01-28T01:32:00.076Z
922.0000,301,-2,2015-01-28T01:31:54.948Z
929.0000,301,-2,2015-01-28T01:31:49.820Z
929.0000,301,-2,2015-01-28T01:31:44.607Z
929.0000,301,-2,2015-01-28T01:31:39.444Z
879.0000,303,-2,2015-01-28T01:31:34.567Z
918.0000,303,-2,2015-01-28T01:31:21.440Z
900.0000,307,-2,2015-01-28T01:31:04.256Z
881.0000,327,-2,2015-01-28T01:30:27.050Z
373.0000,443,-2,2015-01-28T01:29:42.449Z
374.0000,441,-2,2015-01-28T01:29:37.323Z
373.0000,442,-2,2015-01-28T01:29:32.196Z
373.0000,443,-2,2015-01-28T01:29:27.072Z
373.0000,443,-2,2015-01-28T01:29:21.945Z
374.0000,444,-2,2015-01-28T01:29:16.820Z
374.0000,442,-2,2015-01-28T01:29:11.690Z
374.0000,442,-2,2015-01-28T01:29:06.328Z
374.0000,443,-2,2015-01-28T01:29:01.187Z
374.0000,443,-2,2015-01-28T01:28:56.062Z
370.0000,443,-2,2015-01-28T01:28:50.936Z
374.0000,439,-2,2015-01-28T01:28:45.810Z
373.0000,442,-2,2015-01-28T01:28:40.683Z
372.0000,440,-2,2015-01-28T01:28:35.556Z
373.0000,440,-2,2015-01-28T01:28:30.430Z
373.0000,441,-2,2015-01-28T01:28:25.304Z
